test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,14,Rita is upset with her employer because she always has to work during important holidays. This is an issue most likely associated with which type of workplace diversity?,Disability,Gender,Religion,Age,C,Religion,"Religion. One issue associated with religious diversity is that different religions celebrate different holidays. If Rita has to work during her most important holidays, it is likely that her employer does not have a policy that accommodates religious diversity. Working during important holidays is not necessarily associated with gender, disability, or age."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,15,"You've just come up with a great tagline for your company and want to use it on all marketing materials. Before publishing the new tagline, you should get it",trademarked.,notarized.,patented.,audited.,A,trademarked.,"Trademarked. A trademark is a symbol, design, or word used to identify a good or service and registered with the government to prevent use by others. A patent is the legal protection of an invention or a process granted by government to its owners for a certain number of years. Notarizing authenticates a document legally (normally used for titles, affidavits, depositions, etc.). Audits are used to verify a company's accounts, records, and financial data."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,16,Employers should care about limiting employee stress because high stress in the workplace can contribute to,less employee turnover.,more absenteeism.,lower health care costs.,increased productivity.,B,more absenteeism.,"More absenteeism. Stress can lead to absenteeism and tardiness at work. When absent workers are the norm, employers have a hard time relying on employees, adhering to deadlines, and getting work done. Employers, therefore, should take steps to limit employee stress as much as they can. High stress in the workplace also leads to decreased productivity, increased health care costs, and higher employee turnover."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,17,One of the best ways to demonstrate exemplary customer service in the hospitality and tourism industry is to,offer discounts.,be frugal.,waive late fees.,be proactive.,D,be proactive.,"Be proactive. While businesses should do everything they can to resolve customer issues once they are received, it's also important to anticipate any issues to improve the customer experience. Anticipating these issues—or being proactive—helps prevent the customer from having a negative experience. While offering discounts or waiving late fees can be a nice touch, these actions don't take the place of strong customer service. Being frugal involves aiming to spend only a small amount of money when possible. Being smart with money is advantageous to businesses, but being frugal all of the time does not help businesses offer exemplary customer service."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,18,Which of the following is most likely to have a negative impact on a beach destination's economy:,Floods and severe storm damage,Occasional airline delays,Fluctuations in gasoline prices,Hotel and restaurant construction,A,Floods and severe storm damage,"Floods and severe storm damage. Floods and storms can cause damage that shuts down lodging facilities, restaurants, tourist attractions, airports, and roads. When businesses are not operating and generating income, the local economy is negatively impacted. Occasional airline delays and minor fluctuations in gasoline prices are normal, so these factors do not typically negatively affect a community's economic health. Hotel and restaurant construction indicates that the local economy is growing."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,19,What do business owners consider when they select a business ownership structure?,"Product versatility, advertising strategies, and personal circumstances","Personal circumstances, type of business, and product mix","Personal circumstances, financial needs, and type of business","Product versatility, financial needs, and advertising strategies",C,"Personal circumstances, financial needs, and type of business","Personal circumstances, financial needs, and type of business. Because each business owner's situation is unique, the owner must consider the type of business being operated, the amount of capital needed to start the business, and the owner's personal circumstances. For example, an independently wealthy, single person who starts a consulting business has different needs than a chef who has little capital and wants to open a full- service restaurant. Product versatility, advertising strategies, and product mix are not generally considered when determining the appropriate business ownership structure."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,20,"Whitley's ethical beliefs are the same whether she's at work, at school, or hanging out with her friends. Whitley follows",ethical principles.,ethical consequences.,situational beliefs.,popular beliefs.,A,ethical principles.,"Ethical principles. Following ethical principles means Whitley’s ethical beliefs don’t change when she’s in a new situation. She follows the same ethical principles no matter where she is or whom she’s with. Her ethics are not situational and may not be in line with popular beliefs. If Whitley did not behave ethically, she could face negative consequences."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,21,Employees can help prevent losses from price-ticket switching by,putting individual price tickets on goods.,being familiar with regular product prices.,using more than one price ticket on goods.,using cost codes on all price tickets.,B,being familiar with regular product prices.,Being familiar with regular product prices. Employees who are familiar with regular prices will notice an item that seems to be priced too low. They can take a moment to verify the price without offending an honest customer. A dishonest customer will realize the business is watching for attempts at fraud. The use of cost codes on price tickets and the use of more than one price ticket are not effective prevention practices because price-ticket switching can still go unnoticed if employees are not familiar with the prices. Not using price tickets on items creates unfavorable shopping conditions for customers and requires additional time for salespeople to check prices.
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,22,"When is the best time for a front-desk hotel employee to recommend hospitality services, such as dining and exercise facilities, to a hotel guest?",During checkout,After posting charges,After posting credits,During check-in,D,During check-in,"During check-in. Hotel employees should inform guests of the hotel's services and amenities during the check- in process. Guests who are not aware that the hotel offers certain services will not use them, which can affect the guests' experience during their stay and can affect the hotel's sales. For example, a guest who does not realize that the hotel has an on-site restaurant will not dine there. As a result, the hotel's food and beverage division loses potential revenue. Advising guests about services during checkout is not beneficial to the guest or to the hotel. Posting is a term that describes adding or subtracting charges to a guest's bill."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,23,"Monika doesn't usually like to spend a lot of money when dining at restaurants, but tonight she added her sister's meal to her bill because they were celebrating her sister's birthday. In this situation, a __________ influence is guiding Monika's buying behavior.",psychological,social,cultural,situational,D,situational,"Situational. There are times when specific situations can override the more dominant influences on buying behavior, such as culture or personality. While Monika might not normally spend money when dining out, she made an exception in this case because it was a special occasion: her sister's birthday. Psychological influence involves a consumer's perceptions, beliefs, and attitudes within their own reality. Social interactions have a strong effect on your buying behavior, as much of what you know about making purchases you've learned by watching family and friends. The most significant influence on buying behavior is culture, which is the system of values, traditions, and preferences that is handed down from one generation to the next."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,24,Determine whether the following statement is true or false: Employees must be taught how to use equipment properly and the potential dangers of not doing so.,False; employees understand the hazards of misusing equipment.,False; employees know which equipment is dangerous and which is not.,True; well-trained employees always use safety precautions.,True; the business is responsible for creating a safe work environment.,D,True; the business is responsible for creating a safe work environment.,"True; the business is responsible for creating a safe work environment. When there is potentially dangerous equipment in the workplace, employees should be instructed in the safe use of the equipment and the potential danger to themselves and others of not doing so. Even when such training is given, employees may become careless or forget to use safety precautions. It is not always obvious that equipment can be hazardous."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,25,People that have authority have __________ power.,legitimate,coercive,expert,referent,A,legitimate,"Legitimate. People that have authority have legitimate power—the formal or legal right to give directions and commands to others. People with authority may also utilize other forms of power, such as coercive, referent, or expert power, but not necessarily."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,26,Which of the following things is likely to occur if both buyers and sellers don't think that they are getting the best possible value:,A business will make more money.,A business will sell more of the product.,Customers will spend their money elsewhere.,Customers will continue to buy the product.,C,Customers will spend their money elsewhere.,"Customers will spend their money elsewhere. Pricing is like a tug-of-war between buyers and sellers. Both are trying to get the most value from the good or service. The trick to pricing comes in balancing and satisfying both groups. Both buyers and sellers need to perceive that they are getting the best possible value they can. If this doesn't happen, customers may spend their money elsewhere, either on a similar product (if one is available) or on an entirely different product. A business may make less money if both buyers and sellers don't think that they are getting the best possible value. Customers are not likely to continue to buy the product, and the business is not likely to sell more of the product."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,27,The development of cars and airplanes fueled the growth of the hospitality and tourism industry because these forms of transportation provided the general public with increased,mobility.,stability.,sensitivity.,creativity.,A,mobility.,"Mobility. Automobiles, airplanes, roads, and highway systems have made travel faster and easier and increased individuals' mobility. As a result, the demand for hospitality services has increased because more people are traveling for business and pleasure. The development and widespread use of cars and airplanes has not increased the general public's sensitivity, creativity, or stability."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,28,"People with a positive attitude are open-minded, which helps them",develop patience.,learn new skills.,be intolerant.,remain cheerful.,B,learn new skills.,"Learn new skills. People with a positive attitude are open-minded and receptive to new ideas and new ways of doing things. This makes it easier for them to learn new skills, techniques, and methods. Being open-minded does not help individuals remain cheerful or develop patience. Being intolerant is the result of a negative attitude."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,29,"To make it easier to find specific information in a business report, you should include a(n)",appendix.,table of contents.,title page.,introduction.,B,table of contents.,"Table of contents. When preparing a business report, it is often a good idea to include a table of contents, the portion of a document in which the sections are listed with their page numbers for easy navigation. This allows a reader to sift through a lengthy document to find the needed information. While title pages, introductions, and appendices are also helpful in a written business report, their main purposes are not to make it easier to find specific information."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,30,Which of the following types of hospitality and tourism information is most likely to be found in an online database:,Industry market trends,A restaurant's customer demographics,Customer reviews for a specific hotel,Competitors' sales data,A,Industry market trends,"Industry market trends. Online databases are sources of scholarly research such as journal and news articles related to a particular topic—in this case, hospitality and tourism. In an online database, you might find information such as industry market trends. Customer reviews for a specific hotel, competitors' sales data, and a restaurant's customer demographics might be found online but would not necessarily be found in an online database."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,31,What type of hotel security standard involves employing armed security guards in high-crime areas?,Procedure-related,Personnel-related,Physical-related,Property-related,B,Personnel-related,"Personnel-related. These standards involve hiring security personnel and/or training hotel staff members to report and deal with criminal activity. Physical-related and property-related security standards involve locking, lighting, and monitoring systems. Procedure-related standards involve monitoring criminal activity and establishing a system for making guests aware of dangerous areas around the hotel."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,32,"Which of the following techniques involves capturing knowledge in a table by grouping similar variables, concepts, or properties:",Process model,Constrained task,Repertory grid,Concept map,C,Repertory grid,"Repertory grid. A repertory grid captures and rates knowledge in a table. Knowledge managers use the table to categorize similar or related variables, concepts, or properties. A concept map organizes concepts and their relationships in a graphic format. A process model is used to capture all of the inputs and outputs of an action, procedure, or process in sequential stages. The constrained task approach involves the use of questionnaires and structured interviews to capture the most important or “key” knowledge from experts."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,33,Carefully selecting goods or services to sell is an example of handling business risks by __________ the risk.,retaining,preventing or controlling,transferring,avoiding,B,preventing or controlling,"Preventing or controlling. Making careful, wise choices of goods or services to sell is one way management can prevent or control risks. Avoiding risk means not being exposed to risk at all. Transferring risk is passing the risk to someone else. Retaining risk is keeping it."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,34,Which of the following is an example of what customers look for in a quality service:,Reliability,Serviceability,Destructibility,Durability,A,Reliability,"Reliability. A reliable service is one that is consistently performed well. Customers look for reliability in the services they use so that they can rest assured that the job will be done and done well. Serviceability, durability, and destructibility are all words used to describe tangible products, not services. A serviceable product is one that can be maintained or repaired. A durable product is one that performs its purpose for a long period of time. A destructible product is one that can be destroyed."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,35,"Human error is one of the leading causes of cybersecurity breaches. To protect customer data from being stolen or leaked by accident, hospitality and tourism companies should",assume that employees are incapable of protecting customer data.,trust their employees to adequately protect customer data.,avoid hiring anyone who can't pass a lie detector test.,implement cybersecurity training for employees.,D,implement cybersecurity training for employees.,"Implement cybersecurity training for employees. Many cybersecurity breaches occur because of human error from within an organization. Employees may unwittingly leak sensitive customer data or fall prey to internal phishing scams. For this reason, it is essential that hospitality and tourism companies implement cybersecurity training for employees. Employees should be educated on the proper handling of private information as well as how to recognize signs of suspicious activity. Companies should not simply trust that employees will adequately protect customer data; they should educate their employees so that they are properly prepared. At the same time, they should not assume that employees are completely incapable of protecting customer data. Most employees are willing and able to learn how to better protect customer data. Lie detector tests are not typically used when hiring employees."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,36,"As Ross develops his departmental budget, he must demonstrate the need for every expense and not rely on historical data. What method of budgeting is Ross using?",Master,Rolling,Zero-based,Relational,C,Zero-based,"Zero-based. Budgets are estimations of income and expenses. In zero-based budgeting, managers are required to show the need for every expense that they expect their departments or companies to incur within a set time period. A rolling or continuous budget replaces each passing month with a new month added to the end of the budget, so that there is always a year-long budget in place. A master budget is a comprehensive budget for the entire company and includes all company functions and departments. Relational is not a type of budget."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,37,"What personality trait are employees exhibiting by taking time to learn customers' names, talk in terms of customers' careers or hobbies, and listen carefully when customers are talking?",Tact,Interest,Honesty,Enthusiasm,B,Interest,"Interest. Loyal customers are developed by salespeople who show sincere interest in their customers. Salespeople can win friends, as well as sales, by showing interest in customers and their problems. Enthusiasm refers to the excitement that a salesperson shows toward the product being sold. Honest salespeople never misrepresent or knowingly deceive customers. Tact is the skill of being able to do or say the proper thing in any given situation."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,38,"The first step in protecting a business's digital assets is taking an inventory. This includes what information is on what media, where the information is located, and",how the information will be used.,costs associated with the information.,how the information is accessed.,order of information importance.,C,how the information is accessed.,"How the information is accessed. An effective digital inventory records what information is on what media, where the information is located, and how it is accessed. The order of importance, costs associated with the information, and how the information will be used are not as important while inventorying digital assets."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,39,Which of the following is an important benefit businesses offer to their local communities:,Decreasing competition,Increasing tax rates,Running community affairs,Creating jobs,D,Creating jobs,"Creating jobs. Increased employment in a community results in an increased local tax base. A larger tax base increases a community's service offerings to residents. Also, merchants will benefit from the increased spending power of citizens who work and, thereby, encourage competition for their consumer dollars. Tax rates will not usually be increased because of businesses. Businesses may participate in, but do not usually run, community affairs."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,40,"When writing a persuasive business message, you should remember to",communicate your personal goals.,describe the benefits to the audience.,open the message with a meaningful quote.,place the least important information at the beginning.,B,describe the benefits to the audience.,"Describe the benefits to the audience. The primary goal of a persuasive message is to influence behavior. Influencing others involves communicating benefits of taking action. The readers are more likely to respond favorably to the message if they know how the action will impact or help them. Communicating benefits is a central element to all types of persuasive messages. The beginning of the message should catch the readers' attention and encourage them to read more. Depending on the type of message, this might involve a quote. The message should be concise, so it should not contain unimportant information. The message should be written to communicate the business's goals rather than personal ones."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,41,"Rather than relying solely on a reception desk in the lobby, a hotel checks in its guests by using tablets that can access the hotel management system anywhere in the building to increase efficiency and convenience. This is an example of __________ impacting the hospitality and tourism industry.",globalization,social media,personalization,mobile devices,D,mobile devices,"Mobile devices. A mobile device is a computer that is small enough to be handheld, such as a smartphone or tablet. The small size of the device allows for greater mobility than a larger, stagnant computer and provides increased efficiency and convenience for consumers. Social media include forms of electronic communications through which users build communities, network, share information, etc. Globalization is the rapid and unimpeded flow of capital, labor, and ideas across national borders. Personalization involves tailoring a product or service to fit individual needs or wants. Social media, globalization, and personalization are not demonstrated in this example."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,42,The best way to track any regulatory changes that might impact the hospitality and tourism industry is to,monitor government agency websites.,consult internet legal forums.,obtain a law degree.,check out library books.,A,monitor government agency websites.,"Monitor government agency websites. Tracking and staying on top of regulatory changes within the hospitality and tourism industry is important, and there are several ways to do so: monitoring regulatory agency websites (like OSHA's), following regulatory agencies on social media, joining industry associations, etc. Consulting internet forums for regulatory changes might not result in accurate information. Checking out a library book might not result in updated information. A law degree would not provide updates on relevant regulatory changes."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,43,Which of the following is a sign of legitimate investment opportunities:,Requesting payment by wiring money to a personal account,Realistic assessment of potential returns,Promises of risk-free investment opportunities,Pressure to invest as soon as possible,B,Realistic assessment of potential returns,"Realistic assessment of potential returns. A financial professional who is presenting a legitimate investment opportunity will provide a realistic assessment of potential returns. Promises of risk-free investment opportunities, pressure to invest as soon as possible, and requesting payment by wiring money to a personal account are warning signs of investment fraud."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,44,Which of the following is an example of a database system:,Scheduling software,A chart reflecting sales revenue,A marketing report,A library catalog,D,A library catalog,"A library catalog. Database systems organize data for easy retrieval. A library catalog helps libraries organize data and retrieve information about books easily. A chart reflecting sales revenue, a marketing report, and scheduling software are all useful business tools but are not examples of database systems."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,45,"Austin has discovered that he has the ability and aptitude for communications and public relations. Since he enjoys talking in front of people and is very at ease when doing so, he has decided that he wants to go into public speaking. Austin has demonstrated",obtaining feedback from others.,establishing a value system.,the ethical principle of transparency.,choosing an appropriate career.,D,choosing an appropriate career.,"Choosing an appropriate career. Each of us has a unique combination of abilities and aptitudes for particular skills. Choosing a career is done by deciding which career matches one's abilities and aptitudes. Establishing a value system is developing your values, identifying which are most important to you, and creating a personal value system. Obtaining feedback from others refers to getting the thoughts and reactions from others about you and your behavior. Transparency is the quality of being just as one seems, which Austin has not necessarily demonstrated here."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,46,"The question ""Are you traveling for business or pleasure?"" is an example of a __________ segmentation inquiry.",demographic,psychographic,choreographic,geographic,B,psychographic,"Psychographic. Psychographic segmentation is the division of a market on the basis of customers' personalities and lifestyles, including income, interests, and activities. People traveling for business can have vastly different price points and planned activities than those traveling for pleasure, so asking whether they are traveling for business or pleasure gives employees a better sense of their psychographic needs. Geographic segmentation is the division of a market on the basis of where customers are located. Demographic segmentation is the division of a market on the basis of its physical and social characteristics. Choreographic refers to dancing and is not a type of segmentation."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,47,"Leaders who share a belief in justice, a desire to do the right thing, and an awareness of the rights of other people can be said to have",competence.,emotional intelligence.,credibility.,integrity.,D,integrity.,"Integrity. People with integrity adhere to an established set of personal ethics and sound moral principles; leaders tend to share a belief in justice, a desire to do the right thing, and an awareness of the rights of other people. Competence, emotional intelligence, and credibility are other, separate leadership characteristics. Competence is the ability to do what needs to be done. Emotional intelligence is the ability to recognize and manage emotions in ourselves and in others. Credibility is how much people believe what you say."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,48,A credit plan that allows customers to make purchases that are within their credit limit and pay all or part of the balance due each month is referred to as a(n) __________ credit plan.,budget,open,revolving,coupon,C,revolving,"Revolving. A revolving credit account limits the total amount of money that may be owed. Revolving account customers who do not pay the full amount each month are charged interest on the unpaid balance. A budget credit plan is a short-term credit plan, typically for two to three months. An open (account) credit plan is a regular credit plan requiring payment in full at the end of each credit period. A coupon credit plan issues coupons to be paid for over a period of time and to be used by customers in making purchases."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,49,Which of the following is a benefit that comes from tracking analytics:,Measuring the success of marketing campaigns,Preventing page bounces,Discovering new sales tactics,Saving money on web hosting costs,A,Measuring the success of marketing campaigns,"Measuring the success of marketing campaigns. Web analytics allow you to collect data about visitors to your website. One of the benefits of doing so is being able to measure the success of digital marketing campaigns. You can track which campaigns lead to more page views and clicks, which allows you to make smarter marketing decisions in the future. While tracking analytics can help you reduce page bounces, it does not prevent them altogether. Tracking analytics is not necessarily related to discovering new sales tactics. Finally, tracking analytics does not necessarily save money on web hosting costs."
1291,HOSPITALITY AND TOURISM CLUSTER EXAM,Hospitality and Tourism Sample Exam.pdf,50,"Owen and his lawyer have an agreement that protects the sensitive information that Owen shares. According to the agreement, Owen's attorney can't share his personal information with anyone else. This is an example of an agreement regarding",security.,confidentiality.,transparency.,privacy.,B,confidentiality.,"Confidentiality. Confidentiality refers to the agreement of an individual or party not to share the sensitive information of another individual or party. Most lawyers have confidentiality agreements with their clients that protect the sensitive details of the clients' cases from being shared with others. While similar to confidentiality, privacy and security differ in important ways. Privacy is the right of an individual to keep their information to themselves, while security is the protection of sensitive data or items that are housed in a database or other storage facility. Transparency refers to openness or honesty. This example best describes a confidentiality agreement."
