test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,11,A Japanese marketer wants to sell large quantities of smartphones in the United States. The channel of distribution this business would most likely use would be producer to,wholesaler to consumer.,agent to consumer.,wholesaler to retailer to consumer.,consumer.,C,wholesaler to retailer to consumer.,"Wholesaler to retailer to consumer. This channel would be the most efficient because of the distances and amount of product involved. The wholesaler can buy in large quantities from the producer and sell smaller quantities to the retailer, who will then sell consumers as few or as many smartphones as desired. By definition, wholesalers do not sell directly to consumers. Agents may be found in the channel but would not relate directly with a consumer."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,12,"Telecam Cellular recently hired 100 individuals to hang out at Washington, D.C. tourist attractions and very conspicuously use the company's newest phone, the XZ240. This form of promotional campaign is often referred to as",stealth marketing.,product screening.,specialty media.,behavioral segmentation.,A,stealth marketing.,"Stealth marketing. Stealth marketing, also known as undercover marketing, is a form of marketing that occurs when people don't know that they are being marketed to. People visiting the various tourist attractions were the targets of Telecam Cellular's stealth marketing campaign. Specialty media is a type of media that features a business's logo, is useful, and is given away. The company's phones only meet two of those criteria—they have the company's logo and are useful, but they were not given away to potential customers. Product screening is the process of considering each idea for a new product and discarding those that seem unworkable. Product screening is not a form of promotion. Behavioral segmentation is also not a form of promotion. It is the division of a market on the basis of consumers' response to a product."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,13,What condition exists if a nation imports more goods and services than it exports?,Trade surplus,Balance of trade,Trade deficit,Comparative advantage,C,Trade deficit,Trade deficit. A nation's balance of trade is the difference between the value of its exports and imports. A trade deficit is an unfavorable balance of trade in which a nation's imports are greater than its exports. A trade surplus is a favorable balance of trade when a nation's exports are greater than its imports. A comparative advantage is the advantage achieved by a nation from specializing in and producing goods and services at which it is relatively most efficient.
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,14,"Due to advances in technology, which phase of the product life cycle is the typewriter in?",Decline,Maturity,Growth,Introduction,A,Decline,"Decline. The typewriter is in the final phase of the product life cycle—decline. Consumers can still purchase typewriters, but demand is low. Desktop computers, laptops, smartphones, and tablets are in the growth and maturity phases. Some artificial intelligence (AI) products are in the introduction phase."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,15,How should a job seeker respond to a business's help-wanted advertisement that asks applicants to send a resume?,By sending a resume and a cover letter,By calling on the business in person,By sending the resume as requested,By calling the business,A,By sending a resume and a cover letter,"By sending a resume and a cover letter. Businesses often include in their help-wanted advertisements a request that job applicants send the business a resume. The job applicant should comply with this request, but they should also send a cover letter with the resume. The cover letter, or letter of application, lends a personal touch to the resume and helps to ""sell"" the job applicant to the business. Businesses ask for resumes in their ads to save time. They do not want applicants to call on the phone or in person. Instead, they screen applicants by reviewing the resumes and interviewing only those applicants who seem best qualified for the job."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,16,"When it comes to buying behavior, people tend to",exhibit no identifiable pattern.,purchase products contrary to their needs.,satisfy their most urgent needs first.,satisfy their less urgent needs first.,C,satisfy their most urgent needs first.,"Satisfy their most urgent needs first. When it comes to buying behavior, consumers tend to meet their needs in an organized way. The most urgent needs, such as the needs for food, water, and shelter, are satisfied first. After the most urgent needs are satisfied, consumers then move on to less urgent needs such as the needs for social belonging, achievement, or self-fulfillment. People generally do not satisfy their less urgent needs first or purchase products contrary to their needs. Consumers usually purchase products in an organized, identifiable pattern."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,17,Which of the following messages should be communicated to an employee in person:,The business believes the employee is stealing goods.,The business will offer flextime in the summer.,The employee's department will soon be enlarged.,The assistant manager is taking vacation next week.,A,The business believes the employee is stealing goods.,"The business believes the employee is stealing goods. Information of a private nature should be delivered in person, particularly if the information is of a negative or embarrassing nature. In this situation, the staff member should also have a chance to deny the accusation if untrue. Information about a manager's vacation, flextime, or enlarging the department could be openly communicated to the staff."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,18,"Juan signed a promissory note for a loan. In this credit arrangement, Juan is the",depositor.,lender.,creditor.,borrower.,D,borrower.,Borrower. A promissory note is a legal form signed by a borrower promising to repay a loan. The person who signs a promissory note is called a borrower. A lender is the individual or financial institution granting the loan. A creditor is a person who extends credit or to whom money is owed. A depositor is a person who places money in the bank for safekeeping.
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,19,Determine which of the following is a true statement:,The order of the steps in marketing research can be changed to suit the business.,The amount of data being gathered determines the order of the steps in marketing research.,The business can leave out some of the steps in marketing research in certain situations.,"The steps in marketing research must follow a certain order, and none can be eliminated.",D,"The steps in marketing research must follow a certain order, and none can be eliminated.","The steps in marketing research must follow a certain order, and none can be eliminated. This is a primary characteristic of marketing research. The business must follow a step-by-step research process that includes gathering, recording, and analyzing information—in that order. This is true no matter how much or how little information is being gathered."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,20,When should researchers ask potentially sensitive questions during an interview?,At the midpoint of the interview to allow time for the researcher to build rapport,Throughout the interview,Toward the end of the interview,At the beginning of the interview to get them out of the way,C,Toward the end of the interview,"Toward the end of the interview. By asking potentially sensitive questions toward the end of an interview, the researcher can avoid having the participant cut off the interview before important information can be collected. By asking the questions at the beginning, in the middle, or throughout the interview, the researcher risks prematurely ended interviews."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,21,Which of the following is a legal requirement of most governments that has an impact on distribution:,Sales contract,Export license,Insurance coverage,Credit approval,B,Export license,"Export license. Many distribution businesses export products to other countries. To do this legally, businesses usually are required by law to obtain an export license that gives them the right to ship products out of the country. Depending on the country of origin, the license may be general and not include specific restrictions. However, some countries have restrictive export licenses that limit the type of products that may be exported. The need for an export license impacts distribution because it may control what a business may legally export. Insurance coverage, sales contract, and credit approval are not legal requirements that impact distribution."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,22,"When people get along well together, they are practicing __________ human relations skills.",ineffective,questionable,effective,unrewarding,C,effective,"Effective. This involves understanding other people and skillfully relating to them. It means appreciating other people and treating them with courtesy, respect, and consideration. Such relationships are generally pleasant and mutually rewarding. People who don't get along well are practicing ineffective or questionable human relations skills."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,23,"Bill has never traveled outside of his country before, so when he signs up to study abroad, he is unsure of what to expect. Bill's situation is ambiguous because it includes",novelty.,insolubility.,complexity.,tolerance.,A,novelty.,"Novelty. Novelty means that the situation is new or unknown. International travel is a novelty to Bill because he has never done it before. Complexity and insolubility are both factors that make a situation ambiguous, but they are not being described in this situation. Tolerance is the capacity to accept deviation from the norm. It is important to tolerate ambiguity, but tolerance itself does not necessarily make a situation ambiguous."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,24,"To make sure products are available when customers want them, a business should coordinate promotion with",segmentation.,transportation.,communication.,distribution.,D,distribution.,"Distribution. Promotion helps to create demand for products, while distribution makes those products available. Businesses coordinate distribution with promotional activities to make sure that sufficient quantities of advertised products are available when customers want to buy them. If a business plans to promote a certain item, the business must make sure that an adequate supply will be on hand to meet customer demand. Businesses may lose customers if they promote certain items that are not available because they failed to make the necessary distribution arrangements. Transportation is the act of moving items from one place to another and is only one aspect of distribution. Segmentation involves dividing something, such as a total market, into smaller, more specific groups. Communication is an exchange of information in which the words and gestures are understood in the same way by both the speaker and the listener."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,25,Technology has helped improve the distribution process by utilizing __________ among channel members.,electronic receiving,automated scheduling,audiovisual programming,integrated information sharing,D,integrated information sharing,"Integrated information sharing. Integrated information sharing allows near-instantaneous computer decisions related to market information, customer information, supply and inventory information, etc. The combination of all available information allows for more efficient supply-chain management. Electronic receiving, automated scheduling, and audiovisual programming do not improve the distribution process. In fact, the receiving process involves having employees check deliveries and deciding when deliveries are scheduled."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,26,Jonas is starting a nonprofit organization to save turtles in Mexico. What benefit will Jonas most likely receive from registering as a nonprofit?,Bank loan,Dual taxation,Dividends,Federal tax break,D,Federal tax break,"Federal tax break. Nonprofit organizations that are established to benefit society are not generally taxed by the federal government. Dual taxation is the levying of two taxes on the same income, which normally isn't the case for nonprofit organizations. Bank loans are a means of gaining capital funding and are not a benefit of registering as a nonprofit. Dividends are sums of money paid to an investor or stockholder as earnings on an investment. These normally do not apply to nonprofit organizations since they are based on the goal of profit."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,27,"When making marketing decisions, businesses often analyze research that is expressed as a mean, median, or mode, which are estimates often referred to as the",distribution share.,central tendency.,graphic representation.,predictability curve.,B,central tendency.,"Central tendency. To obtain useful marketing information, researchers often survey a representative group of the market segment (sample). After collecting the data, researchers assign numerical values to the responses. The typical value (response) of the set of numerical values is referred to as the central tendency. Researchers can measure central tendency as a mean, median, or mode. To summarize the data, researchers might develop a visual representation of central tendency in a chart or graph format. Predictability curve and distribution share are fictitious terms."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,28,"Paulette is a member of her college alumni group and participates in the group's activities on a regular basis. During one event, Paulette's friend Dillon told her about a management position that recently became available with his company and encouraged her to apply for the position. This is an example of",professional outsourcing.,personal volunteerism.,employee acquisition.,job networking.,D,job networking.,"Job networking. Networking involves connecting with others for the purpose of professional development or advancement. Many people obtain job leads by talking with family, friends, school counselors and alumni, former supervisors, and coworkers. Outsourcing involves acquiring assistance from outside organizations/consultants to obtain goods or services to accomplish business objectives or perform primary business activities. Volunteering involves donating time to complete a project. Acquiring new employees to carry out the business's work is an activity carried out by the staffing function of management."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,29,Which of the following is a reason why some businesses use predatory pricing:,To appeal to advertisers,To mislead customers,To drive out competitors,To form agreements,C,To drive out competitors,"To drive out competitors. Predatory pricing involves setting very low prices on certain goods or services to hurt competitors and try to drive them out of business. Predatory pricing is unethical because its only purpose is to drive out the competition. Businesses that engage in predatory pricing usually do so for only the amount of time it takes to drive out competitors, and then they raise the prices. Deceptive pricing is intended to mislead customers. Businesses that form agreements concerning prices are involved in price fixing. Businesses do not use predatory pricing to appeal to advertisers."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,30,"Dorian owes $5,000 on his credit card with an annual percentage rate of 12%. The credit card company charges interest on a monthly basis. How much of Dorian's next monthly payment will go toward interest?",$49,$16,$50,$164,C,$50,"$50. To determine how much of his monthly payment will go toward interest, Dorian should first divide the annual percentage rate by 12 to find the monthly interest rate (12% / 12 = 1%). Assuming that the credit card company charges Dorian interest on a monthly—rather than daily—basis, he should multiply the monthly interest rate by his account balance to find how much he will spend on interest when he makes his next credit card payment (1% X $5000 = $50)."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,31,Study the following supply and demand schedule for a household product. Determine which of the statements best describe what is occurring. Quantity Quantity Price Demanded Supplied $300 100 300 $250 150 250 $200 200 200 $150 250 150,Price increases as demand increases.,Supply decreases as price increases.,Supply increases as price decreases.,Price decreases as demand increases.,D,Price decreases as demand increases.,"Price decreases as demand increases. Demand interacts with supply to determine prices. According to the chart, as the price decreased the more the product was demanded. Conversely, when the price increases, producers are willing to supply more products. However, supply levels tend to decrease when price decreases."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,32,What might a business decide to do if the information in its sales forecast predicts a drop in demand for the business's product?,Reduce prices by 4%,Recruit 50 new employees,Increase production,Decrease advertising budget,A,Reduce prices by 4%,"Reduce prices by 4%. Businesses use the information in sales forecasts to make decisions that will contribute to their success. One of these decisions involves price. If a sales forecast predicts a drop in demand for the business's product, the business may decide to reduce prices to generate more sales. If a sales forecast predicts a drop in demand, a business would not increase production or recruit new employees. Many businesses increase advertising when demand begins to drop to attract new customers."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,33,"By searching the company's computer records, an employee obtained confidential information about a well- known client, which they discussed with a friend. Eventually, the information was leaked to the media, which embarrassed the client and the business. What action could the company have taken to prevent this unethical behavior?",Provide clients with information-tracking capabilities,Require the employee to submit their resignation,Install antivirus software to protect the computer network,Use computer passwords to limit access to certain data,D,Use computer passwords to limit access to certain data,"Use computer passwords to limit access to certain data. Businesses have the responsibility to protect their customers' confidential information. One way to protect confidential information is to limit access to employees who need or use the information. Requiring qualified employees to use computer passwords to access the confidential information can reduce the risk of unethical behavior—such as snooping or spying. Antivirus software, client-tracking capabilities, and a resignation request would not prevent the employee from obtaining the information. The business would likely reprimand or fire the employee for their unethical behavior after the incident occurred."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,34,Marketing information obtained from trade publications for use by a business is considered,a trademark.,internal information.,secondary data.,primary data.,C,secondary data.,"Secondary data. Secondary data are information that has been collected for a purpose other than the project at hand. Primary data are collected specifically for the problem or project at hand. A trademark is a symbol, design, or word used to identify a good or service and often registered with the government to prevent its use by others. Internal information is data obtained from sources within the business."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,35,"Ad copy that says a car is ""the only sports coupe named to Car and Driver's ten-best list 3 years in a row"" is",using a testimonial.,showing uses.,making a claim.,giving features.,C,making a claim.,"Making a claim. This kind of copy makes a general or specific claim for the product. When features are discussed in an ad's copy, factual information about the product is given, such as the type of engine in an automobile. When product use is featured in ad copy, the ad tells readers how they can use the product. A testimonial is someone's personal statement about the benefits of the product."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,36,Two classifications of warranties based on the extent of the promises they make are __________ warranties.,express and implied,express and limited,full and limited,full and implied,C,full and limited,"Full and limited. Full warranties cover the entire product, while limited warranties cover certain repairs or specific parts. Warranties classified on the basis of whether their promises are stated or simply understood are express and implied warranties."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,37,"To streamline its information systems, the Mason Company wants to purchase a computer program that performs a variety of related functions, such as accounts payable, accounts receivable, and general ledger applications. The Mason Company should purchase a(n) __________ computer package.",customer identification,marketing intelligence,integrated software,engineering design,C,integrated software,"Integrated software. Integrated software applications consist of two or more related computer programs that work together to record information or perform specific business tasks or functions. Accounting involves keeping and interpreting financial records. Because accounts payable, accounts receivable, and general ledger applications are related or interdependent accounting activities, the company should purchase an integrated accounting software package. Marketing intelligence involves obtaining and analyzing information about the target market. Engineers use engineering design software to develop various products and structures. Customer identification and preferences are often elements of customer-relationship management integrated software."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,38,"Mr. Potter, a regular customer in your store, has examined three different models of electric fans and read all the information on the boxes and labels. What type of customer is Mr. Potter?",Slow/Methodical,Suspicious,Dishonest,Domineering/Superior,A,Slow/Methodical,Slow/Methodical. Slow/Methodical customers weigh all the facts before making a buying decision. Domineering/Superior customers have all the answers and are not interested in the opinions of others. Dishonest customers intentionally attempt to avoid paying part or all of the price for a product. Suspicious customers question everything.
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,39,A company wants to know why sales of a certain product are not growing. Its purpose in conducting marketing research is to,test hypotheses.,predict.,explain.,monitor.,C,explain.,"Explain. The company that wants to know why sales of a certain product are not growing will conduct marketing research to explain the problem. Monitoring refers to keeping track of statistics, such as a certain salesperson's performance. Testing hypotheses means experimenting to see if an “educated guess” is correct. Predicting refers to using marketing research to gain insight into something that will happen in the future."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,40,Which of the following statements is an advantage of mass marketing:,It markets several products to several target markets.,It communicates a detailed message to a smaller audience.,It is cost-effective because it produces one product for everyone.,It provides the most possibilities for success at a high cost.,C,It is cost-effective because it produces one product for everyone.,"It is cost-effective because it produces one product for everyone. Mass marketing (also known as undifferentiated marketing) is designing products and directing marketing activities to appeal to the whole market. Mass marketing allows a business to produce one product for everyone, which is more cost-effective than producing and marketing several products to several target markets. Mass marketing can be used to communicate a broad message to a large audience—a strategy that works especially well when a product is first introduced, when it has only a few features, or when it appeals to a wide variety of people. Mass marketing does not market several products to several target markets; rather, it markets those products to the whole market. Mass marketing provides the most possibilities for success at the lowest cost."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,41,"When a producer directs its advertising and sales promotion to the ultimate consumer, what promotional strategy is it using?",Push,Pull,Niche,Product placement,B,Pull,"Pull. The pull promotional strategy involves a producer promoting its products directly to the ultimate consumer or industrial user. This stimulates customer demand, which compels intermediaries to purchase the products from the manufacturer to accommodate customer demand. When a producer promotes its products to intermediaries, who then promote the products to customers, the producer is using a push promotional strategy. Product placement involves using products as props in TV shows, movies, etc. Niche is not a promotional strategy."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,42,Jenny owns a chain of luxury resorts. Which of the following is an example of a strategy-oriented decision problem that she might face:,Why are customers less than satisfied with their experiences?,Which location would be the most profitable place to open a new resort?,Why are our sales lower in one location than in others?,What are the key demographics of our target customers?,B,Which location would be the most profitable place to open a new resort?,"Which location would be the most profitable place to open a new resort? Strategy-oriented decision problems are linked to strategic business decisions and usually answer the questions “how?” or “which?” If Jenny wants to choose between several locations to open a new resort, she is facing a strategy-oriented decision problem. The questions “Why are our sales lower in one location than in others?” and “Why are customers less than satisfied with their experience?” are discovery-oriented decision problems. The question “What are the key demographics of our target customers?” is a research problem."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,43,A company that makes products from recyclable goods is exhibiting ethical behavior because it is protecting the,distribution channel.,environment.,market segment.,law.,B,environment.,"Environment. When a business makes its products from recyclable goods, or items that can be used again (e.g., paper), it is exhibiting responsible and ethical behavior. The business is taking steps to save and protect the earth's natural resources by creating something out of used or discarded items. Although governments have laws to protect the environment, recycling is not always legislated. If a government does have recycling regulations for businesses, the businesses are following the law rather than protecting the law. Making products from recyclable goods does not directly protect the distribution channel or the market segment."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,44,"A business wants to reduce employee theft by 10%, and it plans to use various means to achieve this goal. These plans can best be classified as",objectives.,strategies.,tactics.,goals.,B,strategies.,"Strategies. Strategies are plans of action for achieving goals and objectives. Tactics are the specific actions used to carry out strategies. Goals or objectives are things that a business wants to attain. In this case, strategies are the plans that the business has formulated to reduce employee theft. The tactics are the methods that the business will use to carry out its strategies (e.g., monitoring exits or checking register tapes). The business's goal or objective is a 10% reduction of employee theft."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,45,You are opening your first restaurant and want to get the word out about the grand opening and signature dishes. Which public relations tool would be most appropriate?,Press release,Trade show,Financial report,Newsletter,A,Press release,"Press release. A press release is written information provided to the media to obtain publicity. This is a great tool to gain publicity about grand openings and newsworthy events. A trade show is an event where businesses display and/or demonstrate their products to build sales leads and interest. A newsletter is a message that provides information of interest to particular groups, such as a current customer base. A financial report is a document containing information related to the overall income and expenses of a business."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,46,One factor leading to differences in the ways salespeople use the selling process is the,availability of credit.,nature of the product.,mood of the salesperson.,season of the year.,B,nature of the product.,"Nature of the product. Factors leading to differences in the use of the selling process include the nature of the product. Large, expensive items may require more time and effort to sell. Tangible items that customers can see and handle may be easier to sell than intangible items. The mood of the salesperson, the season of the year, and the availability of credit are not factors affecting differences in the use of the selling process."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,47,Jill only buys Natural Glow cosmetics and will go from store to store until she finds them. Jill is in the brand __________ stage of brand loyalty.,recognition,insistence,preference,evangelism,B,insistence,"Insistence. Brand insistence has been achieved when a consumer refuses alternative products and searches exclusively for the desired merchandise. In this case, Jill insists upon Natural Glow cosmetics and makes sure she buys them over any other brand of cosmetics. Brand evangelism occurs when you are an advocate for a brand, convincing others that the brand is the best. In this case, there is no indication that Jill is a brand evangelist for Natural Glow. Brand preference occurs when you prefer a brand based on previous experience with it and will select it over competitors when the option is available. In this case, Jill is beyond the level of brand preference because she only wants Natural Glow, even when it is not available. Brand recognition means that the consumer is aware of and can identify a brand. Jill is beyond this point with Natural Glow."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,48,"When using the systematic random sampling method, marketers must determine the",cluster.,quota gap.,stratum.,skip interval.,D,skip interval.,"Skip interval. Systematic random sampling is a probability sampling method that involves placing sampling units into a random list and drawing a sample using a skip interval. Skip interval is the number of spaces between each sampling unit drawn in systematic random sampling. Stratum and cluster are types of probability sampling methods that involve dividing the target population into non-overlapping groups or subpopulations. Quota sampling is a nonprobability sampling method, which ensures that specific groups within a population are represented within the sample. Quota gap is not a consideration when using the systematic random sampling method."
1309,MARKETING CLUSTER EXAM,Marketing Sample Exam.pdf,49,Which of the following is an example of product bundling:,A restaurant discounts all of its salads and appetizers on Wednesday nights from 7-9 p.m.,"A company sells a computer, printer, and mouse together for a discounted price.","A retail store holds a ""buy one, get one 50% off"" sale twice a season.","A grocery store also has a bank, a florist, and a pharmacy inside its doors.",B,"A company sells a computer, printer, and mouse together for a discounted price.","A company sells a computer, printer, and mouse together for a discounted price. Product bundling is a marketing strategy that involves offering several products for sale as one combined product. Selling a computer, printer, and mouse together is an example of a product bundle. Discounts and other promotions such as “buy one get one 50% off” are also marketing tactics, but they are different from product bundling. A grocery store that offers other services is not an example of product bundling either."
