test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,27,Which of the following is the most effective way to avoid excessive credit card debt:,Pay off your balance each month.,Use credit card cash advances to pay debt.,Choose a credit card with a high limit.,Pay off low-interest credit cards first.,A,Pay off your balance each month.,"Pay off your balance each month. If you must use credit cards, the most effective way to avoid excessive credit card debt is to pay off your balance each month. By paying back what you've borrowed each month, you can avoid paying interest and other costly fees. If you cannot pay off your balance each month, work to pay off high- interest credit cards first since high-interest credit cards cost you more in the long run than low-interest cards. Choose credit cards with low limits so that you have less of an opportunity to accumulate debt. Credit card cash advances usually result in extremely high interest charges, often 20% or more. So, it is wise to avoid cash advances, rather than using them to pay debt."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,28,ABC Education Company wants to compare its business practices and performance to that of other organizations within its industry. Which of the following financial analysis tools would be most helpful for this purpose:,Benchmarking,Trending,Forecasting,Ratio analysis,A,Benchmarking,"Benchmarking. A benchmark is a point of reference—something that provides a basis for comparison or evaluation. Benchmarking is used by companies to compare themselves to competitors within their industry. If ABC Education Company wants to compare its practices and performance to that of other organizations, benchmarking would be the most effective method. Trending, or trend analysis, involves comparing financial reporting periods to identify a trend, such as an increase in sales or a reduction in expenses. Forecasting is used to predict future events and trends, such as sales and other revenues. Ratio analysis involves calculating financial ratios (comparisons created when one number is divided into another) to get a better understanding of a company's financial health."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,29,"Building professional, long-term relationships with others in the financial industry requires",membership in unrelated trade organizations.,a detached attitude.,consistent communication.,a formal agreement or contract.,C,consistent communication.,"Consistent communication. Networking helps finance professionals build relationships with others who work in the same or related fields. These contacts often lead to new job opportunities and client referrals. Joining college alumni groups, social and civic organizations, and professional associations are common ways to network with others. The key to building long-term relationships with others is engaging in consistent, ongoing communication—getting to know the other person. By doing so, finance professionals build rapport with others and earn their trust. Formal contracts and a detached or indifferent attitude will not foster positive professional relationships. To join, many trade organizations require their members to work in the trade or industry."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,30,Which of the following is the formula used to calculate retained earnings:,Operating cash flow − Capital expenditures + Net income (or loss),Capital expenditures + Net income (or loss) − Net dividends,Beginning period retained earnings − Net income (or loss) + Net dividends,Beginning period retained earnings + Net income (or loss) − Net dividends,D,Beginning period retained earnings + Net income (or loss) − Net dividends,Beginning period retained earnings + Net income (or loss) − Net dividends. Retained earnings are the cumulative net profits of a company after accounting for dividend payments. Retained earnings are calculated by adding net income to (or subtracting net losses from) the beginning period retained earnings then subtracting any net dividend(s) paid to shareholders. Net dividends usually refer to cash dividends or stock dividends. The formula looks like: Retained earnings = Beginning period retained earnings + Net income (or loss) − Net dividends. Subtracting capital expenditures from operating cash flow calculates free cash flow. Capital expenditures and operating cash flow are not used when calculating retained earnings.
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,31,"Firewalls, intrusion detection systems, and encryption are all methods used by companies to",protect and secure financial information.,screen qualified job applicants.,sort and organize customer data.,ensure the security of their office buildings.,A,protect and secure financial information.,"Protect and secure financial information. Firewalls, intrusion detection systems, and encryption are all examples of technological advancements that allow companies to better protect sensitive financial information. They are not methods used to screen qualified job applicants, ensure the security of office buildings, or sort and organize customer data."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,32,"In corporate governance, oversight of management, segregation of control, and policy development are all examples of",transparency in management.,external control mechanisms.,internal control mechanisms.,tasks of the board of directors.,C,internal control mechanisms.,"Internal control mechanisms. Internal control mechanisms monitor the progress and activities of an organization and make corrections when the company goes off track. Examples of internal control mechanisms include oversight of management, segregation of control, independent internal audits, and policy development. These are not examples of tasks of the board of directors—rather, internal control mechanisms are intended to make sure that the board of directors behaves in accordance with company values and goals. These are also not examples of transparency in management or external control mechanisms. External control mechanisms are controlled by people outside of an organization and are designed to serve the objectives of regulators, governments, trade unions, and financial institutions, for example."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,33,"To reduce the risk of unauthorized access to confidential data, businesses use security software to protect their",corporate policies.,intranet systems.,intercom systems.,spam email.,B,intranet systems.,"Intranet systems. An intranet system is a business's internal computer network. It allows for the electronic exchange of information among the business's employees. Because businesses often store confidential information (e.g., customer financial data, employee payroll data) on their intranet, they must take steps to ensure that unauthorized individuals do not obtain the information. Businesses use computer software applications to minimize security risks. Encryption techniques and passwords are examples of methods that businesses use to protect the confidential information that is stored on their intranet systems. Businesses do not use security software to protect their corporate policies, intercom systems, or spam email."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,34,Comparing the prices offered by different vendors for the same goods and services is what part of the purchasing process?,Receipt of goods,Bid analysis,Invoice payment,Price fixing,B,Bid analysis,Bid analysis. Businesses compare the prices offered by different vendors for the same goods and services in order to decide from whom to make the purchase. Analyzing the bids allows businesses to find out which vendor is offering the best price. Price fixing involves businesses agreeing on prices of their products resulting in little choice for the consumer. Receipt of goods is the arrival of the order at its destination. Invoice payment is paying for the goods once they have been received.
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,35,What is the key distinction between a word processor and a text editor?,A text editor is a simplified type of word processor.,A text editor is more focused on the visual formatting elements of a document.,A text editor offers users more control over layout and colors.,A text editor is a more advanced word processor.,A,A text editor is a simplified type of word processor.,"A text editor is a simplified type of word processor. A word processor is a great tool for the average user who needs to write and format text on documents, but a text editor is designed specifically for users who need to write and edit text quickly with less focus on formatting. A text editor is not a more advanced word processor and does not offer users more control over layout and colors, nor is it more focused on the visual formatting elements of a document."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,36,What form of communication is best for a manager to use to obtain immediate feedback from employees and gauge their nonverbal cues?,Phone call,Instant messaging,Face-to-face meeting,Email,C,Face-to-face meeting,"Face-to-face meeting. Having a face-to-face meeting is the best way to get immediate verbal and nonverbal feedback. Nonverbal feedback or body language can often provide insight into what the message recipient feels or really thinks about the message. For example, crossing arms often indicates a defensive or negative attitude about the message. The manager cannot gauge or monitor employees' nonverbal cues through phone calls, instant messaging, or email."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,37,"Whether prices go up or down, the relationship between relative prices does not change if the __________ remains the same.",value,resource,ratio,market,C,ratio,"Ratio. A ratio is a fixed relation in number or degree between two similar things. Therefore, if the relative price of two items is cut in half or doubles, the ratio would remain the same. Value is the amount of satisfaction that a good or service will provide a customer. A market is any circumstance in which buyers and sellers exchange goods or services for a price. A resource is any item that is used to produce goods or services."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,38,What type of insurance company serves as a financial intermediary?,Liability,Health,Property,Life,D,Life,"Life. Life insurance companies are a type of financial intermediary because they receive funds from their customers (savers) and lend the funds to other customers (borrowers). Property, liability, and health insurance companies are not financial intermediaries. Like life insurance companies, they sell their services to customers, but they do not lend funds to borrowers."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,39,"Marcus is one of the earliest investors for a new teeth-whitening kit. Since then, he has convinced several other people to invest in the kit, allowing him and other early backers to profit from their investments. What type of investment scam is this scenario describing?",Ponzi scheme,Viatical investment scam,Boiler room,Predatory lending,A,Ponzi scheme,"Ponzi scheme. A Ponzi scheme is an investment scam that lures in new investors by promising high rates of return with little to no risk. In a Ponzi scheme, high rates of returns are paid to initial investors out of funds from later investors. Because Marcus and other early backers are profiting from investments made by new backers, this scenario is an example of a Ponzi scheme. Predatory lending is when lenders pressure a consumer into signing loan agreements that aren't in the consumer's best interest. A viatical investment scam is when companies convince investors to buy interests in the death benefits provided for in life insurance policies of terminally ill patients. Boiler rooms are high-pressure sales tactics (cold calls, fast talking, etc.) used in an effort to persuade investors to purchase securities."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,40,In which stage of project management does risk analysis take place?,Closing,Execution,Planning,Initiation,C,Planning,"Planning. A risk analysis takes place in the planning stage of project management. Project managers analyze risk in an effort to prepare to minimize its effects as much as possible. In the initiation phase, the idea for the project is assessed and a statement of work and project charter are drafted. In the execution phase, the work of the project is completed. In the closing phase, project managers deliver the final product and tie up any loose ends."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,41,How can the stock market affect the economy?,Rising stock markets cause consumer prices to decrease.,The stock market performs better during long-term stagnation.,Interest rates are lower when the economy is in recession.,Declines in stock markets decrease consumer confidence.,D,Declines in stock markets decrease consumer confidence.,"Declines in stock markets decrease consumer confidence. When stock prices fall, businesses and consumers lose confidence and are less likely to spend money, so the economy is negatively affected. Interest rates do tend to be lower when the economy is in recession, but this is not an example of how the stock market affects the economy. The stock market does sometimes perform better during long-term economic stagnation, but this is not an example of how the stock market affects the economy. Finally, rising stock markets do not necessarily cause consumer prices to decrease."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,42,Which of the following is a good source of detailed information about specific career opportunities in business:,Community-college student centers,Professional organization websites,Classified ads in urban newspapers,Corporate human-resource departments,B,Professional organization websites,"Professional organization websites. Most business specialties have a professional organization, such as the National Association of Business Economics. Today, many professional organizations also have a website that includes information about the type of jobs in the profession. Many websites also provide information about the training necessary for jobs in the profession and a listing of members who may have positions available. Classified ads in urban newspapers and community-college student centers are not good sources of detailed information about specific careers. Corporate human-resource departments only provide information about careers in their businesses."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,43,"When your parents tell you to vacuum the living room, you are receiving __________ directions.",social,written,oral,nonverbal,C,oral,"Oral. When your parents tell you to vacuum the living room, you are receiving oral directions. When a person speaks, they are not giving nonverbal directions or written directions. Directions for vacuuming the living room are not social directions."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,44,What can a business do if it is exposed to risks that commercial insurance companies do not cover?,Acquire a professional association,Create a trade union,Form a captive insurance company,Establish a risk management committee,C,Form a captive insurance company,"Form a captive insurance company. Organizations (i.e., corporations, industry/professional/trade associations) often form their own insurance companies—called captive insurance companies—when they carry risks that commercial insurance companies will not cover. The organizations that form the captive insurance companies control insurance activities including the underwriting processes, premium rates, and claims processing policies. Acquiring a professional association, establishing a risk management committee, and creating a trade union are not ways in which a business transfers risk."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,45,"Isaac, who has $10,000 to invest, wants to determine how much money he could accrue over 1 year if he invests the full $10,000. To calculate that future value, what pieces of information does Isaac need?",Past value and principal,Income and interest rate,Present value and discount rate,Past value and present value,C,Present value and discount rate,"Present value and discount rate. Calculating the time value of money helps individuals make wise investment decisions. To solve for the future value of his $10,000 initial investment, Isaac should use the formula Present Value X (1 + Discount Rate). $10,000 is the present value of his investment, and the discount rate is the interest rate that he expects to earn on that initial investment."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,46,"Like food service is just one segment of the hospitality and tourism industry, __________ is one component of __________.",risk control; risk management,risk management; risk control,internal risk; external risk,external risk; internal risk,A,risk control; risk management,"Risk control; risk management. Risk management is a business activity that involves the planning, controlling, preventing, and limiting of business losses and enhancing possibilities for gain. Risk control includes specific actions taken to mitigate the chance of risk. Risk control is one component of risk management, but not all risk management is risk control. Internal risks are those controlled by the business, like poor budgeting. External risks are those that a business cannot control, such as inflation. Internal and external risks do not overlap."
1312,FINANCE CLUSTER EXAM,Finance Sample Exam.pdf,47,Which of the following involves obtaining and evaluating data for the purpose of helping businesses make long- term decisions:,Applied research,Communications networks,Information management,Organizational development,C,Information management,"Information management. This is the process of accessing, processing, maintaining, evaluating, and disseminating knowledge, facts, or data for the purpose of assisting business decision-making. Businesses need a lot of information to operate successfully and make decisions that will help the business grow and prosper. Managing the information allows businesses to obtain the data they need to remain competitive and survive. Communications networks, organizational development, and applied research do not involve obtaining and evaluating data for the purpose of helping businesses make long-term decisions."
