test_number,exam_title,source_pdf,question_number,question_text,option_A,option_B,option_C,option_D,correct_letter,correct_option_text,rationale
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,14,Businesspeople who fail to adapt their communication styles to appeal to their international clients are likely to,persuade the clients to buy.,earn the clients' trust.,impress the clients.,offend the clients.,D,offend the clients.,"Offend the clients. Businesspeople should try to learn as much as they can about a client's culture, customs, and social values. By understanding and being aware of cultural differences, businesspeople can adapt their communication styles to make a positive impression on their clients, earn their clients' trust, and persuade their clients to buy. Businesspeople who adapt their communication styles are aware of actions that a particular client might view as hospitable, as well as behaviors that the client might find offensive. Offensive behaviors can hinder the ability to build long-term relationships with international clients."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,15,Governments ban or control monopolies because monopolies,do not pay taxes.,reduce the power of the government.,do not always benefit consumers.,are hard to manage.,C,do not always benefit consumers.,"Do not always benefit consumers. A monopoly exists when a single business influences the entire production of a particular good or service. This means that any major competitors are eliminated, and the monopoly can control the price of the product by restricting production. Government regulates monopolies to protect consumers except in cases in which it is best to have a single provider of a good or service (e.g., utilities). Monopolies do not reduce the power of the government and are not necessarily hard to manage. They do pay taxes."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,16,Which of the following presents the most accurate picture of how a business is doing financially:,Total income,Operating expenses,Net profit,Gross profit,C,Net profit,"Net profit. Net profit is the amount of money left after operating expenses are subtracted from gross profit. Operating expenses are the daily costs of running the business. Until they are subtracted, the business does not have a realistic picture of how it is doing financially. Total income is all the receipts of the business, which is an important figure but does not measure financial status."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,17,One way that competition benefits business is by encouraging the creation of,limited resources.,more regulations.,new companies.,unrelated firms.,C,new companies.,"New companies. Competition encourages new businesses to enter the marketplace. When a product is popular and successful, others recognize the demand and develop similar products in order to compete. The ongoing competition leads to the creation of new products and new companies. Businesses do not necessarily benefit from more regulations. Competition usually encourages the creation of businesses that are similar or related to successful, existing businesses. Many resources are limited, which means that more cannot be created."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,18,Currency speculation is risky because,it can be extremely profitable.,it is a practice very few traders participate in.,it can lead to high inflation.,predicting currency values is relatively easy.,C,it can lead to high inflation.,"It can lead to high inflation. Currency speculation is risky because it can create an artificial demand for currency, leading to high inflation. Currency speculation is also risky because predicting currency values is quite difficult. Many traders participate in currency speculation—a majority of trades on the foreign exchange market, actually. Currency speculation can be extremely profitable, but that is not what makes it risky."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,19,"If a country cannot attract foreign investors due to its past political conflicts, its __________ has impacted its involvement in world trade.",geography,culture,history,economy,C,history,"History. If investors avoid a country because of past conflicts there, they are basing their decision on the country's history. The country's past conflicts may have been due to its culture or economy, but it is not clear whether either was the cause in the situation described. Geography refers to a country's physical features and location, not to past events."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,20,Which of the following is an example of using posture to express assertiveness:,Explaining why you must refuse a request for help,Frowning when you disagree or disapprove,Raising your eyebrows when you have questions,Standing up straight when talking to other people,D,Standing up straight when talking to other people,"Standing up straight when talking to other people. Posture is the way in which you hold your body. Ways you can use posture to express assertiveness include standing up straight when speaking, leaning toward the speaker to show your interest in what is being said, or crossing your arms across your chest to indicate a negative response to what is being said. Explaining why you must refuse a request for help is an example of verbal assertiveness. Raising your eyebrows and frowning are facial expressions used in nonverbal assertiveness."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,21,Jon decided to promote Bill instead of Maggie to regional manager because he thinks that women aren't assertive enough in business situations. Jon is stereotyping on the basis of,ethnicity.,gender.,religion.,age.,B,gender.,"Gender. A stereotype is a set image or assumption about a person or thing. When people stereotype others, they tend to classify certain people as a group that possesses certain characteristics. These characteristics are often based on distorted beliefs or unreliable information. A person who stereotypes others often fails to see an individual who possesses unique skills, values, and attitudes. Gender is one characteristic by which people often stereotype others. Assuming men are more assertive than women in business situations is a distorted belief. In fact, many women are very assertive in business situations. Ethnic stereotyping involves having false beliefs about a person on the basis of their race or culture. Stereotypes about religion involve having distorted beliefs about a person's spiritual practices. An individual who stereotypes by age might feel that younger people do not possess needed knowledge or that older people are feeble and lack adaptability."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,22,Felipe wants to start having a more positive attitude. Which of the following is true about attitudes:,Attitudes are unaffected by environments.,Attitudes can be helped with humor.,Attitudes can change quickly and easily.,Attitudes are not controllable by people.,B,Attitudes can be helped with humor.,"Attitudes can be helped with humor. Being able to laugh at yourself and at annoying things that happen is very good for your positive attitude. It keeps you from taking yourself too seriously and helps you keep things in perspective. Changing attitudes won't happen overnight. Our attitudes develop from the time we are children, and they can't be changed that easily. Energy is like the common cold—contagious. Surrounding yourself with positive people will have a positive effect on your attitude. Your attitude is one of the few things in life over which you have complete control. The choice to be positive is one you make every day, and no one else can make that decision for you."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,23,"When Rhea realized that she included the wrong facts in a marketing report, she demonstrated integrity by","defending her work, even though she knows it is incorrect.",letting her entire team take the blame.,admitting that she made a mistake and apologizing.,ignoring the problem so no one would notice.,C,admitting that she made a mistake and apologizing.,"Admitting that she made a mistake and apologizing. Integrity includes being accountable for your actions—even when you make a mistake. Admitting when you are wrong is a part of being honest. When Rhea makes an error, she should own up to it, rather than ignore the problem, let others take the blame, or defend or cover up the mistake."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,24,"Eva manages a team member, Shawn, who is motivated primarily by his own satisfaction while working on challenging projects. This is an example of an __________ motivation.",external,intrinsic,ineffective,extrinsic,B,intrinsic,"Intrinsic. Intrinsic motivation comes from within a person. Internal motivators include a personal sense of satisfaction, enjoyment, or challenge. Extrinsic motivation is external and includes things like a salary, a promotion, or benefits. Intrinsic motivation is not ineffective for Shawn."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,25,"If you promise your boss that you will attend a professional development seminar, following through on that promise will","build a strong, trusting relationship.",help you become more organized.,lead you to receive a promotion.,ensure you will never get fired.,A,"build a strong, trusting relationship.","Build a strong, trusting relationship. When you manage commitments well, you are living up to your obligations, which means you are being fair and respectful to others. This allows you to build strong, trusting relationships, as is the case with your boss in this example. Following through on a promise to your boss will not necessarily ensure you will never get fired or lead you to receive a promotion, although it might help you grow in your career. It is not necessarily related to becoming more organized."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,26,"Every time you spend money on yourself, you expose yourself to",financial risk.,relational risk.,future debt.,poverty.,A,financial risk.,"Financial risk. Anytime you spend money, you expose yourself to financial risk because it affects your budget and your savings. Spending money on yourself does not necessarily affect your relationships or cause you to experience future debt or poverty."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,27,It is important to get the “whole picture” before settling on a viewpoint so that you can,use the information to prove you are right.,make a responsible and informed decision.,have the upper hand in arguments and debates.,avoid interacting with people different than you.,B,make a responsible and informed decision.,"Make a responsible and informed decision. You should make sure that you've heard the whole story before making a decision about whether or not you agree with a viewpoint. If you don't, you risk walking away without fully understanding the topic or event. Learning about a viewpoint helps you make a good decision about whether or not you agree with it; it does not help you prove that you are right, have the upper hand in arguments, or avoid interacting with people who are different than you."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,28,One reason customers who pay for products with a credit card usually want to know the interest charges is because those charges,increase the retail price.,generate the profit for the business.,are calculated on a yearly basis.,add to the cost of the purchase.,D,add to the cost of the purchase.,"Add to the cost of the purchase. Using credit can add to the total cost of goods and services. For example, interest or finance charges are added to accounts that are not paid in full at the end of each payment period. When customers buy products with a credit card, they often pay over a period of time. Then, each month they pay interest on the unpaid balance. The interest charges add to the cost of the purchase. Interest charges do not increase the retail price, because customers who pay in cash are not charged interest. Interest usually is calculated monthly rather than yearly. Interest generates profit for the credit card company rather than the store."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,29,Lyla is applying for a loan to buy a house for the first time. Which of the following should she be certain to do when applying for the loan:,Overstate her assets,Inaccurately report her debts,Sign blank documents,Read all paperwork carefully,D,Read all paperwork carefully,"Read all paperwork carefully. Lyla should make sure she has read and understood all of the paperwork associated with the loan before signing it. She should be up front about her financial situation, so she should not inaccurately report her debts or overstate her assets. She should never sign a blank document, as doing so can lead to fraud."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,30,Preparing wills and setting up guardianships are types of financial services that often are provided by,attorneys.,beneficiaries.,courts.,executors.,A,attorneys.,"Attorneys. Certain types of financial services often require the assistance of attorneys. For example, most people hire attorneys to help them prepare their wills to make sure that their assets are distributed properly. Also, some people set up guardianships to manage assets for minor children. Attorneys usually provide these types of financial services because wills and guardianship papers are legal documents. To protect the assets, it is important that these documents be prepared correctly. Executors are the individuals who carry out the terms of the will. Wills and guardianship papers often are filed with the appropriate court. Beneficiaries are the heirs."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,31,"During a weekly status meeting, Tom said, “We've worked extremely hard and have made some tremendous progress on this stage of the project, so I am taking the team out to lunch next Wednesday.” What project- management activity is Tom performing?",Mentoring,Evaluating,Rewarding,Encouraging,C,Rewarding,"Rewarding. An important aspect of managing a project team is motivating the team members. Project managers can motivate team members by showing appreciation for their efforts and by rewarding them for reaching certain goals. A reward might include a nice meal, time off, or a financial bonus. Mentoring is an activity in which one experienced employee helps or guides a new employee on the job. Evaluating is a controlling activity. Encouragement is the act of giving someone support, confidence, or hope."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,32,"Marina's company needs to finance a new project. When Marina is figuring out the company's capital structure, she lists its current employees, equipment, and money as",return on capital.,debt.,equity.,dividends.,C,equity.,"Equity. Equity refers to the assets a company already owns. Since Marina's company already has employees, equipment, and money, these things are considered equity. Debt refers to taking out a loan from a bank or other lending institution. A dividend is a sum of money paid to an investor or stockholder as earnings on an investment. Return on capital (also known as return on invested capital) is another key component of managing working capital."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,33,Which of the following statements regarding cash flow statements is true:,A cash flow statement is derived from the income statement and the balance sheet.,A negative cash flow indicates that a company is financially healthy and stable.,A positive cash flow indicates that a company is financially unhealthy.,"The less cash available for business operations, the better for company investors.",A,A cash flow statement is derived from the income statement and the balance sheet.,"A cash flow statement is derived from the income statement and the balance sheet. When calculating cash flow, companies use income statements and balance sheets to observe how cash is flowing in and out of the company. A negative cash flow does not typically indicate that a company is financially healthy and stable. Generally, a negative cash flow is indicative of financial struggles. Therefore, investors are not likely to be happy if a company doesn't have much cash available for business operations. A positive cash flow indicates that a company is financially healthy and stable—not unhealthy."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,34,"Because the AMR Company has an effective knowledge management system in place, the company developed a line of unique products based on the input of employees and customers. In this situation, the company applied its knowledge to",ensure that natural resources were used responsibly.,prevent inventory turnover.,reduce its overhead expenses.,become more innovative and competitive.,D,become more innovative and competitive.,"Become more innovative and competitive. A business can use the knowledge that it collects from its employees and customers to identify unmet wants and needs in the marketplace. The AMR Company used the knowledge that it collected and implemented a systematic innovation process to develop and market a new product line to satisfy the market's wants and needs. By introducing a new product line, the AMR Company is competitive in the marketplace. The business did not use its knowledge management system to reduce its overhead expenses or prevent inventory turnover. There is not enough information provided to determine if the business used natural resources to produce the new products."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,35,"Camilla is being promoted and is training Cecily to take over her current position. To help Cecily acclimate to her new job, Camilla gives Cecily some tips that might help her process her work more efficiently. What does this example illustrate?",Cecily should develop her own way of doing things because it is likely to be better than Camilla's way.,Cecily should be cautious about the information that Camilla is giving her because it is probably incorrect.,Camilla is providing too much information and is likely to confuse and frustrate Cecily.,Camilla is exhibiting ethical behavior by passing along personal knowledge to help Cecily learn how to do,D,Camilla is exhibiting ethical behavior by passing along personal knowledge to help Cecily learn how to do,"Camilla is exhibiting ethical behavior by passing along personal knowledge to help Cecily learn how to do her job. Many times, employees find ways that help them manage their workload—things that aren't always written in their job descriptions. This personal knowledge is acquired by trial and error, which occurs by repeating tasks and activities over time. Personal knowledge might include tips that help the employee work with or around deficit computer processes, or shortcuts that eliminate waste or improve efficiency. If Camilla did not provide these tips, it would likely take Cecily more time to become proficient at her job, which can affect the company's efficiency and ability to achieve its goals. Therefore, Camilla is behaving in an ethical manner by providing Cecily with tips and personal knowledge. Until Cecily gets acclimated with her job, she will not know if she has a better way to complete tasks than the way that Camilla suggests. There isn't evidence to indicate that Camilla would provide incorrect information."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,36,What do companies often use to assign and track various business tasks?,Customer database,Surveillance system,Accountability matrix,Magnetic cards,C,Accountability matrix,"Accountability matrix. An accountability matrix is a table that assigns tasks to workers and tracks the workers' progress in relation to various business or project activities. Accountability matrices are components of project management software. Businesses may design their own accountability matrices through word processing or spreadsheet applications. A customer database is a central location in which the business records and maintains information about its customers. A surveillance system consists of audio/visual equipment that is used to monitor various activities. Magnetic cards (e.g., debit cards, credit cards) contain data that can be read by electronic devices. Businesses do not use customer databases, surveillance systems, or magnetic cards to assign and track various business tasks."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,37,Mara recently accepted a job with the Sweet Treat Cookie Company. Her new employer required her to sign a document stating that she will not reveal the ingredients in the company's cookie recipes to external sources. This is an example of a(n),noncompete provision.,indictment.,injunction.,nondisclosure agreement.,D,nondisclosure agreement.,"Nondisclosure agreement. A nondisclosure agreement is a contract between an employer and an employee that states that the employee will not reveal the employer's trade secrets (e.g., formula, recipe, manufacturing technique) to future employers for whom the employee might work. The purpose of a nondisclosure agreement is to provide businesses with legal protection if a competitor attempts to use revealed information for financial gain or benefit. Nondisclosure provisions or agreements are often part of the noncompete agreement, which is a contract between an employer and an employee that states that the employee will not work for a competitor for a certain length of time after leaving the company. An indictment is a court-issued statement that formally charges an individual with a crime. An injunction is a court order forbidding a business or a person to perform certain activities."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,38,The laddering technique is used to capture and change categories of,horizontal communication.,hierarchical information.,meaningless data.,redundant knowledge.,B,hierarchical information.,"Hierarchical information. A hierarchy arrangement sets information in a certain order, rank, or level. The laddering technique is a tool that helps an organization capture information and categorize it into a meaningful and useful order. The business can obtain information by collecting tacit knowledge from internal and external sources. The laddering technique, which can be implemented manually or with a computer program, can help a business organize the steps necessary to complete a certain activity or process. By doing so, the business might discover ways that it can change the ordering system to increase efficiency, such as eliminating an unnecessary task or a task that is being performed twice. Horizontal communication occurs among individuals at the same level, such as coworkers."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,39,"Jack is a computer programmer who is struggling to fix a glitch with his company's new computer network. During a get-together with some friends who also work in technology, Jack brings up his dilemma. His friend Janelle suggests a process that helped her solve a similar problem that she experienced a few weeks ago. Two other friends, Tim and Susan, provide some suggestions as well. In this situation, Jack and his friends are transferring knowledge by",conducting a formal interview.,forming a strategic alliance.,applying Groupthink strategies.,participating in a community of practice.,D,participating in a community of practice.,"Participating in a community of practice. A community of practice is an informal group that is formed by people who have common interests. In communities of practice, group members share ideas, discuss problems, and brainstorm solutions. By doing so, the group members are transferring their knowledge among themselves. One or all members can capture and record the collected knowledge for future personal or group use. In the example, Jack and his friends share a common bond because all of them work in technology. When the group met, Jack's friends offered suggestions for resolving his work dilemma; therefore, the group is a community of practice. Groupthink is a situation that occurs when conforming to the group becomes more important than expressing individual judgment and ideas. A strategic alliance is an arrangement that involves two or more businesses entering into a relationship by combining complementary resources such as technology, skills, capital, or distribution channels for the benefit of all parties; the relationship is usually short-term or for a single project/transaction. The situation is not an example of a formal interview."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,40,"Before knowledge can be reused or shared, it must be",manipulated.,recognized.,embedded.,analyzed.,B,recognized.,"Recognized. The first phase of the knowledge management process is discovery and detection, during which knowledge is recognized and categorized. Knowledge must be recognized before it can be embedded, analyzed, or manipulated."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,41,"When customers have a negative experience with a business, they are likely to",do nothing.,tell their family and friends about it.,contact the owner or manager.,give the business one more chance.,B,tell their family and friends about it.,"Tell their family and friends about it. When customers have a negative experience with a business, they are likely to tell their family and friends about it, harming the business’s reputation. They are unlikely to contact the owner or manager, give the business another chance, or do nothing at all."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,42,"When an existing customer's contact information changes, what should a company do?",Enter the customer's contact information in a new database,Add the customer's record in the employee directory,Create a new record that contains the customer's changes,Update the customer's record in the company database,D,Update the customer's record in the company database,"Update the customer's record in the company database. Businesses keep a variety of customer information in a central location—a computer database. When customers change their contact information (e.g., email address or phone address) or move, companies need to update their customer database to reflect those changes. If the information is not changed, the business does not have current contact information. This can be costly to the business in situations that involve delinquent accounts and returned mail. The business does not need to create a new record to reflect changes—this would clutter the system with unnecessary data—nor does the business need to create a new database every time a customer's contact information needs to be updated. Employee records, rather than customer records, appear in the company or employee directory."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,43,"If a business wants to send a mailing to customers in specific geographic regions, it should set the database query to sort its customer information by",sales volume.,name.,state.,street number.,C,state.,"State. A database software program allows a business to sort customer information by various criteria— customer name, sales volume, customer type, zip code, etc. Queries are database fields that the business uses to sort the data. The type of data that the business wants to retrieve or analyze determines the database query (sorting mechanism) that the business uses. To obtain a list of customers in specific geographic regions, the business should sort by state. Depending on the business's needs, it may also use zip code, city name, or country to sort by geographic location. Sales volume, customer name, and street numbers are not queries that will sort customer information by geographic location."
1273,BUSINESS MANAGEMENT AND ADMINISTRATION CLUSTER EXAM,Business Management and Administration Sample Exam.pdf,44,"If Delia needs to determine the dollar amount of office supplies that her company purchases from the XRT Company each month, she should review",customer invoices.,production status reports.,sales reports.,accounts-payable records.,D,accounts-payable records.,"Accounts-payable records. Accounts payable are the monies that a business owes to others (e.g., vendors). Because the accounts-payable function or department of a business is responsible for tracking and paying expenses, Delia can obtain information about a specific vendor by obtaining an accounts-payable report or by reviewing copies of the vendor's invoices. Production status reports, customer invoices, and sales reports will not provide Delia with the information she needs regarding the business's purchases from a specific vendor."
